Potential(1),I(1),Scan(1),Potential(2),I(2),Scan(2),Potential(3),I(3),Scan(3),Voltage,Current
-0.196289063,-0.000290283,1,-0.19607544,-4.9408E-05,1,-0.196014404,-7.69958E-05,1,-0.196126302,-0.000138896
-0.193695068,-0.000247009,1,-0.193634033,-4.39545E-05,1,-0.193603516,-6.66199E-05,1,-0.193644206,-0.000119194
-0.191192627,-0.000218933,1,-0.191101074,-4.05945E-05,1,-0.191101074,-5.97229E-05,1,-0.191131592,-0.000106417
-0.188842773,-0.000198395,1,-0.188690186,-3.82507E-05,1,-0.188690186,-5.46875E-05,1,-0.188741048,-9.71111E-05
-0.186340332,-0.000181854,1,-0.186279297,-3.64319E-05,1,-0.186157227,-5.06592E-05,1,-0.186258952,-8.96484E-05
-0.183929443,-0.000168274,1,-0.183990479,-3.48633E-05,1,-0.183776856,-4.74976E-05,1,-0.183898926,-8.35449E-05
-0.181427002,-0.000156494,1,-0.181518555,-3.36731E-05,1,-0.181304932,-4.47479E-05,1,-0.181416829,-7.8305E-05
-0.179016113,-0.000146179,1,-0.179016113,-3.26538E-05,1,-0.178924561,-4.23859E-05,1,-0.178985596,-7.37396E-05
-0.17654419,-0.000136871,1,-0.176635742,-3.17566E-05,1,-0.176391602,-4.03015E-05,1,-0.176523845,-6.9643E-05
-0.174133301,-0.000128632,1,-0.174255371,-3.09753E-05,1,-0.174072266,-3.84918E-05,1,-0.174153646,-6.60331E-05
-0.171691895,-0.000121033,1,-0.17175293,-3.02765E-05,1,-0.171875,-3.66974E-05,1,-0.171773275,-6.2669E-05
-0.169158936,-0.000114044,1,-0.169281006,-2.96295E-05,1,-0.169342041,-3.52112E-05,1,-0.169260661,-5.96282E-05
-0.166748047,-0.000107635,1,-0.166870117,-2.90527E-05,1,-0.166900635,-3.38531E-05,1,-0.1668396,-5.6847E-05
-0.164245606,-0.000101654,1,-0.164367676,-2.85065E-05,1,-0.164428711,-3.25989E-05,1,-0.164347331,-5.42531E-05
-0.161804199,-9.60E-05,1,-0.161895752,-2.8006E-05,1,-0.161987305,-3.14514E-05,1,-0.161895752,-5.18219E-05
-0.159423828,-9.09E-05,1,-0.159545898,-2.75543E-05,1,-0.159484863,-3.03955E-05,1,-0.159484863,-4.96206E-05
-0.157043457,-8.60E-05,1,-0.157073975,-2.70966E-05,1,-0.15713501,-2.93976E-05,1,-0.157084147,-4.74975E-05
