Potential(1),I(1),Scan(1),Potential(2),I(2),Scan(2),Potential(3),I(3),Scan(3),Voltage,Current
-0.196166992,-0.000125458,1,-0.196044922,-5.45044E-05,1,-0.195953369,-5.56641E-05,1,-0.196055094,-7.85422E-05
-0.193664551,-9.42E-05,1,-0.193542481,-4.64539E-05,1,-0.193511963,-4.94995E-05,1,-0.193572998,-6.33871E-05
-0.191253662,-7.60E-05,1,-0.191040039,-4.16473E-05,1,-0.191070557,-4.53766E-05,1,-0.191121419,-5.43274E-05
-0.188812256,-6.41E-05,1,-0.188690186,-3.83667E-05,1,-0.188690186,-4.22577E-05,1,-0.188730876,-4.82473E-05
-0.18637085,-5.57E-05,1,-0.186157227,-3.59222E-05,1,-0.186218262,-3.97522E-05,1,-0.186248779,-4.37795E-05
-0.183959961,-4.96E-05,1,-0.183746338,-3.40332E-05,1,-0.183746338,-3.77045E-05,1,-0.183817546,-4.04327E-05
-0.181549072,-4.50E-05,1,-0.181488037,-3.23395E-05,1,-0.181518555,-3.58093E-05,1,-0.181518555,-3.77075E-05
-0.179107666,-4.13E-05,1,-0.179077148,-3.10455E-05,1,-0.179046631,-3.43018E-05,1,-0.179077148,-3.55469E-05
-0.176574707,-3.83E-05,1,-0.176574707,-2.99469E-05,1,-0.17654419,-3.29559E-05,1,-0.176564535,-3.37229E-05
-0.174133301,-3.58E-05,1,-0.174163818,-2.89978E-05,1,-0.174163818,-3.17841E-05,1,-0.174153646,-3.22083E-05
-0.171936035,-3.36E-05,1,-0.171722412,-2.81586E-05,1,-0.171722412,-3.07068E-05,1,-0.17179362,-3.08218E-05
-0.169464111,-3.18E-05,1,-0.169281006,-2.74109E-05,1,-0.169219971,-2.97363E-05,1,-0.169321696,-2.96621E-05
-0.16708374,-3.03E-05,1,-0.166809082,-2.67395E-05,1,-0.166748047,-2.88391E-05,1,-0.16688029,-2.86224E-05
-0.164581299,-2.90E-05,1,-0.164367676,-2.6123E-05,1,-0.164367676,-2.8009E-05,1,-0.164438884,-2.76988E-05
-0.162078857,-2.77E-05,1,-0.161865234,-2.55737E-05,1,-0.161956787,-2.72278E-05,1,-0.16196696,-2.68433E-05
-0.159637451,-2.67E-05,1,-0.159423828,-2.50641E-05,1,-0.159423828,-2.65259E-05,1,-0.159495036,-2.61119E-05
-0.157196045,-2.58E-05,1,-0.15701294,-2.45941E-05,1,-0.156982422,-2.58575E-05,1,-0.157063802,-2.5413E-05
-0.154724121,-2.49E-05,1,-0.154541016,-2.41547E-05,1,-0.154571533,-2.52197E-05,1,-0.154612223,-2.47569E-05
-0.152252197,-2.41E-05,1,-0.152130127,-2.37396E-05,1,-0.152069092,-2.46216E-05,1,-0.152150472,-2.41587E-05
-0.149871826,-2.34E-05,1,-0.149658203,-2.33765E-05,1,-0.149627686,-2.40662E-05,1,-0.149719238,-2.36186E-05
-0.147369385,-2.27E-05,1,-0.147216797,-2.29919E-05,1,-0.147216797,-2.35168E-05,1,-0.14726766,-2.30764E-05
-0.145019531,-2.21E-05,1,-0.144805908,-2.26776E-05,1,-0.144744873,-2.30194E-05,1,-0.144856771,-2.26105E-05
-0.142486572,-2.16E-05,1,-0.142303467,-2.2345E-05,1,-0.142364502,-2.25311E-05,1,-0.142384847,-2.21436E-05
-0.140106201,-2.10E-05,1,-0.139953613,-2.20428E-05,1,-0.139953613,-2.20612E-05,1,-0.140004476,-2.17072E-05
-0.13760376,-2.05E-05,1,-0.137542725,-2.17438E-05,1,-0.137390137,-2.15973E-05,1,-0.137512207,-2.12687E-05
-0.135223389,-2.01E-05,1,-0.135009766,-2.14783E-05,1,-0.135009766,-2.11792E-05,1,-0.135080973,-2.09035E-05
-0.132751465,-1.96E-05,1,-0.132568359,-2.12189E-05,1,-0.132568359,-2.07611E-05,1,-0.132629395,-2.0521E-05
-0.130279541,-1.92E-05,1,-0.130157471,-2.09656E-05,1,-0.130126953,-2.03644E-05,1,-0.130187988,-2.01691E-05
-0.127929688,-1.88E-05,1,-0.127685547,-2.07245E-05,1,-0.127716065,-1.99799E-05,1,-0.1277771,-1.98212E-05
-0.125427246,-1.84E-05,1,-0.125274658,-2.04803E-05,1,-0.125213623,-1.96014E-05,1,-0.125305176,-1.94885E-05
-0.122924805,-1.80E-05,1,-0.122802734,-2.02576E-05,1,-0.122741699,-1.92413E-05,1,-0.12282308,-1.91589E-05
-0.120422363,-1.77E-05,1,-0.120330811,-2.00531E-05,1,-0.120361328,-1.88934E-05,1,-0.120371501,-1.88731E-05
-0.118103027,-1.73E-05,1,-0.117889404,-1.98425E-05,1,-0.117889404,-1.85608E-05,1,-0.117960612,-1.85801E-05
-0.115631104,-1.70E-05,1,-0.115417481,-1.96411E-05,1,-0.115386963,-1.8219E-05,1,-0.115478516,-1.82882E-05
-0.113189697,-1.67E-05,1,-0.112976074,-1.94458E-05,1,-0.112915039,-1.78986E-05,1,-0.113026937,-1.80135E-05
-0.110778809,-1.64E-05,1,-0.110595703,-1.92688E-05,1,-0.110565186,-1.75964E-05,1,-0.110646566,-1.77602E-05
-0.108276367,-1.61E-05,1,-0.108093262,-1.90796E-05,1,-0.108062744,-1.72852E-05,1,-0.108144124,-1.74845E-05
-0.105865479,-1.59E-05,1,-0.105682373,-1.89056E-05,1,-0.105651856,-1.69983E-05,1,-0.105733236,-1.72516E-05
-0.10345459,-1.56E-05,1,-0.103271484,-1.87317E-05,1,-0.103179932,-1.67145E-05,1,-0.103302002,-1.70115E-05
-0.100982666,-1.53E-05,1,-0.100799561,-1.85577E-05,1,-0.100799561,-1.64276E-05,1,-0.100860596,-1.67633E-05
-0.098419189,-1.50E-05,1,-0.098358154,-1.83838E-05,1,-0.098358154,-1.61438E-05,1,-0.098378499,-1.65171E-05
-0.096099854,-1.48E-05,1,-0.095977783,-1.82373E-05,1,-0.095794678,-1.58875E-05,1,-0.095957438,-1.63178E-05
-0.093658447,-1.46E-05,1,-0.093505859,-1.80725E-05,1,-0.093475342,-0.000015625,1,-0.093546549,-1.60878E-05
